Manager ID,Manager Name
348,JAIN INVESTMENT ADVISORS PVT. LTD
349,JAIN SECURITIES INTERNATIONAL LTD.
350,JAINAM SHARE CONSULTANTS PVT. LTD.
351,JANAK MERCHANT SECURITIES PVT LTD
352,Jasper Financial Services Private Limited
353,JAYPEE CAPITAL SERVICES LTD.
354,JEETAY INVESTMENTS PVT LTD
355,JIK Industries Limited.
356,JM FINANCIAL ASSET MANAGEMENT LTD.
357,JM FINANCIAL SERVICES  LTD
358,JOINDRE CAPITAL SERVICES LIMITED
359,JOINDRE CAPITAL SERVICES LIMITED
360,JRG Securities Ltd
361,Julius Baer Wealth Advisors India Private Limited
362,K M CAPITAL LTD
363,Kantilal Chhaganlal Securities Pvt. Ltd
364,KARMA CAPITAL ADVISORS PVT. LTD.
365,KARVY CAPITAL LIMITED
366,KARVY STOCK BROKING LTD.
367,KB CAPITAL MARKETS PVT. LTD.
368,Kedia Shares & Stocks Brokers Ltd
369,KEYNOTE CAPITALS LIMITED
370,Keynote Capitals Limited
371,Keynote Corporate Services Limited
372,KHANDWALA SECURITIES LTD
373,KIFS SECURITIES PVT. LTD.
374,KJMC Financial Services Ltd
375,KKR India Financial Services Private Limited
376,Klay Securities Private Limited
377,KOTAK INVESTMENT ADVISORS LIMITED
378,KOTAK MAHINDRA ASSET MANAGEMENT COMPANY LTD
379,Kotak Mahindra Bank Limited
380,KOTAK MAHINDRA FINANCE LTD
381,KOTAK SECURITIES LTD
382,KRCHOKSEY SHARES AND SECURITIES PRIVATE LIMITED
383,Kriis Portfolio Pvt. Ltd.
384,KRONE RESEARCH & BROKERAGE (P) LTD
385,KSEMA WEALTH MANAGEMENT PVT LTD
386,KUMAR SHARE BROKERS LIMITED
387,Kumar Share Brokers Limited
388,KUNVARJI FINSTOCK PRIVATE LIMITED
389,KUNVARJI FINSTOCK PVT. LTD
390,L&T CAPITAL MARKETS LTD
391,L&T INVESTMENT MANAGEMENT LIMITED
392,Laburnum Capital Advisors Private Limited
393,lakewater advisors private limited
394,Landmark Capital Advisors Private Limited
395,LANDMARK CAPITAL ADVISORS PRIVATE LIMITED
396,LAPIS INDIA CAPITAL ADVISORS PRIVATE LIMITED
397,LATIN MANHARLAL SECURITIES PVT. LTD.
398,LFS BROKING PRIVATE LIMITED
399,Libord Finance Ltd.
400,LIC MUTUAL FUND ASSET MANAGEMENT LTD
401,LIC MUTUAL FUND ASSET MANAGEMENT LTD
402,LKP SECURITIES LTD
403,LKP SHARES & SECURITIES LTD
404,LKS Murthy Inv.& Fin.Cons.P.Ltd
405,Lloyds Finance Limited
406,LogicTree Investment Advisers Private Limited
407,M HIND FINANCIAL SERVICES PVT LTD
408,M/S JHP SECURITIES PRIVATE LIMITED
409,M/s JHP Securities Private Limited
410,M/s. Religare Macquarie Wealth Management Limited
411,"M/S.ASTEYA INVESTMENT MANAGERS LLP,"
412,Mafatlal Finance Co. Ltd.
413,MAFATLAL SECURITIES LTD
414,MAGUS CAPITAL SERVICES PRIVATE LIMITED
415,MAIA FINANCIAL SERVICES PRIVATE LIMITED
416,MAJORTREND CAPITAL PVT LTD
417,MANGAL KESHAV SECURITIES LIMITED
418,Mangal Keshav Securities Limited
419,MANSUKH SECURITIES & FINANCE LIMITED
420,MAPE SECURITIES PRIVATE LIMITED
421,Marathon Trends Advisory Private Limited
422,Marcellus Investment Managers Private Limited
423,MARFATIA STOCK BROKING PRIVATE LIMITED
424,Marg Securities Limited.
425,MARKET CREATORS LTD
426,Market Creators Ltd.
427,MARWADI SHARES & FINANCE LTD.
428,MASTER PORTFOLIO SERVICES LTD
429,MATA SECURIITIES INDIA  PRIVATE LIMITED
430,MATA SECURITIES INDIA PRIVATE LTD
431,MATHS CAPITAL MANAGEMENT PVT. LTD.
432,Maximus Capital Research Pvt. Ltd.
433,MCC Finance Ltd. (Foresight Financial Se
434,MEFCOM CAPITAL MARKETS LTD
435,MEGACORPS LEASE FINANCE LTD
436,MEHTA EQUITIES LIMITED
437,MEHTA EQUITIES LTD.
438,Merbanc Financial Ser Ltd
439,MERCANTILE SECURITIES LTD.
440,Merisis Advisors Private Limited
441,MF GLOBAL SIFY SECURITIES INDIA PRIVATE LTD
