,Weight,Open_x,Open_y,Returns,Buy Date,Sell Date
1622,0.05,125.0,169.1,0.017639999999999996,1276,1365
1213,0.05,574.4,622.8,0.0042130919220055695,1276,1365
1430,0.05,1152.9,1185.0,0.0013921415560759784,1276,1365
183,0.05,698.0,845.05,0.010533667621776502,1276,1365
1604,0.05,366.0,462.8,0.013224043715846996,1276,1365
2086,0.05,142.8,175.81,0.011558123249299716,1276,1365
1512,0.05,447.1,549.95,0.011501901140684414,1276,1365
343,0.05,140.7,154.8,0.005010660980810243,1276,1365
2669,0.05,63.7,60.5,-0.002511773940345371,1276,1365
833,0.05,77.95,92.8,0.009525336754329695,1276,1365
1141,0.05,710.0,704.1,-0.0004154929577464773,1276,1365
867,0.05,990.8000000000001,994.6666666666666,0.00019512851567756158,1276,1365
135,0.05,518.5,559.1,0.003915139826422375,1276,1365
658,0.05,208.75,206.1,-0.000634730538922157,1367,1456
983,0.05,374.0,275.0,-0.013235294117647059,1367,1456
144,0.05,3262.0,2630.0,-0.009687308399754752,1367,1456
1124,0.05,1900.35,1468.3,-0.011367642802641619,1367,1456
1622,0.05,165.95,214.05,0.014492316962940652,1367,1456
577,0.05,150.2,157.5,0.002430093209054598,1367,1456
197,0.05,162.66666666666666,154.1,-0.0026331967213114745,1367,1456
326,0.05,297.65,233.9,-0.01070888627582731,1367,1456
1152,0.05,139.45,119.5,-0.0071531014700609505,1367,1456
147,0.05,1105.0,810.0,-0.01334841628959276,1367,1456
234,0.05,302.7,277.9,-0.004096465147010244,1367,1456
395,0.05,126.0,161.725,0.014176587301587301,1367,1456
1240,0.05,559.0,435.15,-0.011077817531305906,1367,1456
49,0.05,79.6,60.2,-0.012185929648241202,1367,1456
1131,0.05,120.0,118.5,-0.0006250000000000001,1367,1456
1229,0.05,120.6,122.0,0.0005804311774461052,1367,1456
1505,0.05,536.2,484.0,-0.004867586721372627,1367,1456
584,0.05,285.3666666666667,280.0,-0.000940310711365496,1367,1456
257,0.05,374.0,306.71999999999997,-0.008994652406417118,1367,1456
2761,0.05,156.0,175.34,0.00619871794871795,1367,1456
40,0.05,1258.75,1488.2,0.009114200595829198,1458,1547
49,0.05,59.3,71.55,0.010328836424957842,1458,1547
395,0.05,159.85,147.9,-0.0037378792618079416,1458,1547
577,0.05,156.5,193.95,0.011964856230031946,1458,1547
589,0.05,254.25,325.35,0.013982300884955758,1458,1547
658,0.05,210.0,263.05,0.012630952380952385,1458,1547
970,0.05,48998.95,59499.0,0.010714566332543864,1458,1547
1053,0.05,122.3,136.7,0.005887162714636138,1458,1547
1079,0.05,189.5,191.8,0.0006068601583113487,1458,1547
1131,0.05,117.5,143.7,0.011148936170212762,1458,1547
1229,0.05,118.55,173.85,0.02332349219738507,1458,1547
1495,0.05,268.45,260.5,-0.0014807226671633433,1458,1547
1507,0.05,412.8666666666666,484.7,0.00869933796221541,1458,1547
1512,0.05,467.0,469.0,0.00021413276231263385,1458,1547
1591,0.05,3147.0,3985.0,0.013314267556402925,1458,1547
1615,0.05,133.7,164.5,0.01151832460732985,1458,1547
1622,0.05,215.7,265.25,0.011485859990727867,1458,1547
2761,0.05,178.94,200.49,0.0060215714764725635,1458,1547
2761,0.05,178.94,200.49,0.0060215714764725635,1458,1547
2911,0.05,68.26347305389221,87.5,0.014089912280701758,1458,1547
18,0.05,104.95,126.9,0.010457360647927585,1549,1639
54,0.05,2194.0,1831.4,-0.008263445761166817,1549,1639
144,0.05,4109.0,4106.0,-3.650523241664639e-05,1549,1639
260,0.05,830.0,878.0,0.0028915662650602415,1549,1639
326,0.05,369.8,440.0,0.00949161709031909,1549,1639
624,0.05,89.1,79.5,-0.005387205387205385,1549,1639
735,0.05,120.3,119.0,-0.00054031587697423,1549,1639
765,0.05,563.7,394.0,-0.01505233280113536,1549,1639
833,0.05,122.0,140.4,0.00754098360655738,1549,1639
998,0.05,785.0,990.45,0.0130859872611465,1549,1639
1229,0.05,176.7,175.35,-0.0003820033955857369,1549,1639
1244,0.05,625.85,716.0,0.007202205001198369,1549,1639
